N,r,rho,regime,L,window,validated_R,R,precision,recall,FP,FN,TP
2017,42,0.020823004462072386,HIGH_SNR,65536,blackman,9,5,0.7604562737642585,0.6585365853658537,63.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,blackman,9,6,0.8288973384030418,0.6585365853658537,45.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,blackman,9,7,0.8973384030418251,0.6585365853658537,27.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,blackman,9,8,0.9277566539923955,0.6585365853658537,19.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,blackman,9,9,0.9277566539923955,0.6585365853658537,19.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,blackman,9,10,0.9277566539923955,0.6585365853658537,19.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hann,9,2,0.2761904761904762,0.7073170731707317,380.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hann,9,3,0.38666666666666666,0.7073170731707317,322.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hann,9,4,0.49714285714285716,0.7073170731707317,264.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hann,9,5,0.6076190476190476,0.7073170731707317,206.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hann,9,6,0.7161904761904762,0.7073170731707317,149.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hann,9,7,0.780952380952381,0.7073170731707317,115.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hann,9,8,0.8038095238095239,0.7073170731707317,103.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hann,9,9,0.8380952380952381,0.7073170731707317,85.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hann,9,10,0.8723809523809524,0.7073170731707317,67.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hann,9,11,0.9028571428571428,0.7073170731707317,51.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hamming,9,2,0.2761904761904762,0.7073170731707317,380.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hamming,9,3,0.38666666666666666,0.7073170731707317,322.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hamming,9,4,0.49714285714285716,0.7073170731707317,264.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hamming,9,5,0.6076190476190476,0.7073170731707317,206.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hamming,9,6,0.7142857142857143,0.7073170731707317,150.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hamming,9,7,0.76,0.7073170731707317,126.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hamming,9,8,0.7676190476190476,0.7073170731707317,122.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hamming,9,9,0.7676190476190476,0.7073170731707317,122.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hamming,9,10,0.7676190476190476,0.7073170731707317,122.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,hamming,9,11,0.7676190476190476,0.7073170731707317,122.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,blackman,9,2,0.2761904761904762,0.7073170731707317,380.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,blackman,9,3,0.38666666666666666,0.7073170731707317,322.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,blackman,9,4,0.49714285714285716,0.7073170731707317,264.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,blackman,9,5,0.6076190476190476,0.7073170731707317,206.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,blackman,9,6,0.7180952380952381,0.7073170731707317,148.0,12.0,29.0
2017,42,0.020823004462072386,HIGH_SNR,131072,blackman,9,7,0.8247619047619048,0.7073170731707317,92.0,12.0,29.0
