source,target,weight
20,45,0.5615
20,46,0.5615
20,47,0.8534
20,48,0.5615
20,49,0.5615
20,50,0.8534
20,51,0.5615
20,52,0.8534
20,53,0.5615
20,54,0.4678
20,55,0.4678
20,56,0.9872
20,58,0.9285
20,59,0.9285
20,60,0.9285
20,61,0.9285
20,62,0.6565
20,63,0.9285
20,64,0.9285
20,65,0.9285
20,66,0.9285
20,67,0.9285
20,68,0.9285
20,69,0.9285
20,70,0.6565
20,71,0.9285
20,72,0.9285
20,73,0.9285
21,22,0.7477
21,23,0.6435
21,24,0.8627
21,26,0.8811
21,27,0.7881
21,28,0.8811
21,29,0.7881
21,30,0.7881
21,31,0.7881
21,32,0.7881
21,33,0.8811
21,34,0.7881
21,35,0.3525
21,36,0.7881
21,37,0.8811
21,38,0.7881
21,39,0.7881
21,40,0.8811
21,41,0.6825
21,42,0.7881
21,43,0.7881
21,44,0.8811
21,45,0.7149
21,46,0.7149
21,47,0.7244
21,48,0.7149
21,49,0.7149
21,50,0.7244
21,51,0.7149
21,52,0.7244
21,53,0.7149
21,54,0.3971
21,55,0.3971
21,56,0.9191
21,58,0.7881
21,59,0.7881
21,60,0.7881
21,61,0.7881
21,62,0.5573
21,63,0.7881
21,64,0.7881
21,65,0.7881
21,66,0.7881
21,67,0.7881
21,68,0.7881
21,69,0.7881
21,70,0.8359
21,71,0.7881
21,72,0.7881
21,73,0.7881
21,74,0.3941
22,23,0.3873
22,24,0.7636
22,26,0.8485
22,27,0.9487
22,28,0.8485
22,29,0.9487
22,30,0.9487
22,31,0.9487
22,32,0.9487
22,33,0.8485
22,34,0.9487
22,36,0.9487
22,37,0.8485
22,38,0.9487
22,39,0.9487
22,40,0.8485
22,41,0.5477
22,42,0.9487
22,43,0.9487
22,44,0.8485
22,45,0.5737
22,46,0.5737
22,47,0.8720
22,48,0.5737
22,49,0.5737
22,50,0.8720
22,51,0.5737
22,52,0.8720
22,53,0.5737
22,54,0.4780
22,55,0.4780
22,56,0.8135
22,58,0.9487
22,59,0.9487
22,60,0.9487
22,61,0.9487
22,62,0.6708
22,63,0.9487
22,64,0.9487
22,65,0.9487
22,66,0.9487
22,67,0.9487
22,68,0.9487
22,69,0.9487
22,70,0.6708
22,71,0.9487
22,72,0.9487
22,73,0.9487
23,24,0.3286
23,26,0.7303
23,27,0.4082
23,28,0.7303
23,29,0.4082
23,30,0.4082
23,31,0.4082
23,32,0.4082
23,33,0.7303
23,34,0.4082
23,35,0.7303
23,36,0.4082
23,37,0.7303
23,38,0.4082
23,39,0.4082
23,40,0.7303
23,41,0.7071
23,42,0.4082
23,43,0.4082
23,44,0.7303
23,45,0.7406
23,46,0.7406
23,47,0.3752
23,48,0.7406
23,49,0.7406
23,50,0.3752
23,51,0.7406
23,52,0.3752
23,53,0.7406
23,56,0.3501
23,58,0.4082
23,59,0.4082
23,60,0.4082
23,61,0.4082
23,62,0.2887
23,63,0.4082
23,64,0.4082
23,65,0.4082
23,66,0.4082
23,67,0.4082
23,68,0.4082
23,69,0.4082
23,70,0.8660
23,71,0.4082
23,72,0.4082
23,73,0.4082
23,74,0.8165
24,25,0.5048
24,26,0.7199
24,27,0.8049
24,28,0.7199
24,29,0.8049
24,30,0.8049
24,31,0.8049
24,32,0.8049
24,33,0.7199
24,34,0.8049
24,36,0.8049
24,37,0.7199
24,38,0.8049
24,39,0.8049
24,40,0.7199
24,41,0.4647
24,42,0.8049
24,43,0.8049
24,44,0.7199
24,45,0.6655
24,46,0.6655
24,47,0.8757
24,48,0.6655
24,49,0.6655
24,50,0.8757
24,51,0.6655
24,52,0.8757
24,53,0.6655
24,54,0.7035
24,55,0.7035
24,56,0.9386
24,58,0.8049
24,59,0.8049
24,60,0.8049
24,61,0.8049
24,62,0.5691
24,63,0.8049
24,64,0.8049
24,65,0.8049
24,66,0.8049
24,67,0.8049
24,68,0.8049
24,69,0.8049
24,70,0.5691
24,71,0.8049
24,72,0.8049
24,73,0.8049
25,45,0.3831
25,46,0.3831
25,47,0.2912
25,48,0.3831
25,49,0.3831
25,50,0.2912
25,51,0.3831
25,52,0.2912
25,53,0.3831
25,54,0.6385
25,55,0.6385
25,56,0.2662
25,57,0.6359
26,27,0.8944
26,28,1.0000
26,29,0.8944
26,30,0.8944
26,31,0.8944
26,32,0.8944
26,33,1.0000
26,34,0.8944
26,35,0.4000
26,36,0.8944
26,37,1.0000
26,38,0.8944
26,39,0.8944
26,40,1.0000
26,41,0.7746
26,42,0.8944
26,43,0.8944
26,44,1.0000
26,45,0.8113
26,46,0.8113
26,47,0.8221
26,48,0.8113
26,49,0.8113
26,50,0.8221
26,51,0.8113
26,52,0.8221
26,53,0.8113
26,54,0.4507
26,55,0.4507
26,56,0.7670
26,58,0.8944
26,59,0.8944
26,60,0.8944
26,61,0.8944
26,62,0.6325
26,63,0.8944
26,64,0.8944
26,65,0.8944
26,66,0.8944
26,67,0.8944
26,68,0.8944
26,69,0.8944
26,70,0.9487
26,71,0.8944
26,72,0.8944
26,73,0.8944
26,74,0.4472
27,28,0.8944
27,29,1.0000
27,30,1.0000
27,31,1.0000
27,32,1.0000
27,33,0.8944
27,34,1.0000
27,36,1.0000
27,37,0.8944
27,38,1.0000
27,39,1.0000
27,40,0.8944
27,41,0.5774
27,42,1.0000
27,43,1.0000
27,44,0.8944
27,45,0.6047
27,46,0.6047
27,47,0.9191
27,48,0.6047
27,49,0.6047
27,50,0.9191
27,51,0.6047
27,52,0.9191
27,53,0.6047
27,54,0.5039
27,55,0.5039
27,56,0.8575
27,58,1.0000
